path	current_owner	disposition	new_owner	consumer	apply_boundary	validator	secret_classification	reason
execution_risk.portfolio.constraints.correlation.cluster_threshold	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.constraints.correlation.enabled	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.constraints.correlation.lookback_days	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.constraints.correlation.min_observations	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.constraints.liquidity_usage_cap_pct	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.constraints.max_category_exposure_usd	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.constraints.max_correlated_exposure_usd	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.constraints.max_event_exposure_usd	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.constraints.max_market_exposure_usd	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.kelly_safety.binding_materiality_threshold	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.kelly_safety.edge_uncertainty_floor	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.kelly_safety.edge_uncertainty_k	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.kelly_safety.max_aggregate_exposure_pct	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.optimizer.integer_inclusion	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.optimizer.objective_return_weight	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.optimizer.solver	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.sizing.confidence_weighting	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.sizing.drawdown_scaling	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.sizing.kelly_fraction	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.sizing.max_position_pct	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.reconciliation.enabled	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.reconciliation.interval_secs	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.reconciliation.stale_open_secs	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.schema_version	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.settlement_redeem.allow_during_emergency	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.settlement_redeem.batch_size	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.settlement_redeem.confirmation_blocks	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.settlement_redeem.enabled	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.settlement_redeem.interval_secs	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.settlement_redeem.max_attempts	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.settlement_redeem.retry_backoff_secs	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
model_routing.model.active_exit_model_version_id	runtime_config	keep_runtime	ModelRouting	model router and category pointer guard	new report or model evaluation run	artifact existence, status, scope and content-hash preflight	none	Serving artifact selection is operational routing, not research methodology
model_routing.model.active_model_version_id	runtime_config	keep_runtime	ModelRouting	model router and category pointer guard	new report or model evaluation run	artifact existence, status, scope and content-hash preflight	none	Serving artifact selection is operational routing, not research methodology
model_routing.model.calibration.ci_confidence	runtime_config	keep_runtime	ModelRouting	model router and category pointer guard	new report or model evaluation run	artifact existence, status, scope and content-hash preflight	none	Serving artifact selection is operational routing, not research methodology
model_routing.model.calibration.embargo_secs	runtime_config	keep_runtime	ModelRouting	model router and category pointer guard	new report or model evaluation run	artifact existence, status, scope and content-hash preflight	none	Serving artifact selection is operational routing, not research methodology
model_routing.model.calibration.method	runtime_config	keep_runtime	ModelRouting	model router and category pointer guard	new report or model evaluation run	artifact existence, status, scope and content-hash preflight	none	Serving artifact selection is operational routing, not research methodology
model_routing.model.calibration.min_samples_isotonic	runtime_config	keep_runtime	ModelRouting	model router and category pointer guard	new report or model evaluation run	artifact existence, status, scope and content-hash preflight	none	Serving artifact selection is operational routing, not research methodology
model_routing.model.candidate_score_floor	runtime_config	keep_runtime	ModelRouting	model router and category pointer guard	new report or model evaluation run	artifact existence, status, scope and content-hash preflight	none	Serving artifact selection is operational routing, not research methodology
model_routing.model.min_model_confidence	runtime_config	keep_runtime	ModelRouting	model router and category pointer guard	new report or model evaluation run	artifact existence, status, scope and content-hash preflight	none	Serving artifact selection is operational routing, not research methodology
model_routing.model.min_quality_gate_age_secs	runtime_config	keep_runtime	ModelRouting	model router and category pointer guard	new report or model evaluation run	artifact existence, status, scope and content-hash preflight	none	Serving artifact selection is operational routing, not research methodology
model_routing.model.shadow_diff_threshold	runtime_config	keep_runtime	ModelRouting	model router and category pointer guard	new report or model evaluation run	artifact existence, status, scope and content-hash preflight	none	Serving artifact selection is operational routing, not research methodology
model_routing.model.shadow_model_version_id	runtime_config	keep_runtime	ModelRouting	model router and category pointer guard	new report or model evaluation run	artifact existence, status, scope and content-hash preflight	none	Serving artifact selection is operational routing, not research methodology
model_routing.schema_version	runtime_config	keep_runtime	ModelRouting	model router and category pointer guard	new report or model evaluation run	artifact existence, status, scope and content-hash preflight	none	Serving artifact selection is operational routing, not research methodology
operational_control.attribution.batch_size	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
operational_control.attribution.enabled	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
operational_control.attribution.sweep_secs	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
operational_control.entry_condition.backstop_interval_ms	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
operational_control.entry_condition.expiry_batch_limit	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
operational_control.entry_condition.lease_duration_secs	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
operational_control.entry_condition.lease_renew_interval_secs	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
operational_control.entry_condition.next_evaluation_delay_ms	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
operational_control.entry_condition.pass_limit	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
operational_control.kill_switch.emergency_exit.kind	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
operational_control.kill_switch.emergency_exit.max_slippage_bps	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
operational_control.notifications.report_published	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
operational_control.schema_version	runtime_config	keep_runtime	OperationalControl	admission gates and notification router	next admission check	typed operational-control validator and consumer prepare	none	Immediate pause, halt and routing controls require atomic hot application
profile_artifacts.domain.definition.crypto.availability_lag_secs	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.crypto.backfill_days	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.crypto.cross_check.alert_cooldown_secs	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.crypto.cross_check.max_basis_bps	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.crypto.cross_check.max_oracle_staleness_secs	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.crypto.momentum_window_secs	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.crypto.volatility_window_secs	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.enabled_by_family.crypto	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.enabled_by_family.weather	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.weather.availability_lag_secs	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.weather.calibration_lookback_days	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.weather.max_forecast_age_secs	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.weather.minimum_bias_samples_per_lead	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.definition.weather.minimum_complete_members	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.domain.schema_version	runtime_config	migrate	DomainProfile artifact	domain feature and evidence pipelines	new job or artifact lineage	domain capability and evidence-contract validator	none	Domain semantics must be frozen with the run that consumed them
profile_artifacts.features.definition.bar_windows_secs[]	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.depth_levels[]	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.enabled_feature_families[]	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.feature_schema_version	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.max_concurrent_market_resolves	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.momentum.ema_fast_secs	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.momentum.ema_slow_secs	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.momentum.roc_lag_secs	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.momentum.roc_windows_secs[]	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.momentum.slope_windows_secs[]	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.structural.book_churn_window_secs	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.structural.shock_window_secs	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.structural.trade_tape_min_coverage_ratio	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.structural.trade_tape_min_notional_usd	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.structural.trade_tape_min_unique_participants	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.structural.trade_tape_window_secs	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
profile_artifacts.features.definition.volatility_windows_secs[]	runtime_config	migrate	FeatureProfile artifact	feature pipeline, training and replay	new job or artifact lineage	FeatureSchema builder and content-hash validation	none	Feature methodology must be immutable and reproducible rather than hot edited
