location	symbol	current_owner	disposition	new_owner	consumer	reason
crates/quant-pivot-api/src/relayer/mod.rs:39	SAFE_OPERATION_CALL	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/relayer/mod.rs:41	PROXY_DEFAULT_GAS_LIMIT	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/rtds.rs:30	SUPPORTED_BINANCE_SYMBOLS	code	keep_code_constant	owning typed contract module	rtds	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/rtds.rs:31	SUPPORTED_CHAINLINK_FEEDS	code	keep_code_constant	owning typed contract module	rtds	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/wallet/mod.rs:249	SIGNER	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/wallet/mod.rs:251	DERIVED_SAFE	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/wallet/mod.rs:253	NON_DERIVABLE_FUNDER	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/weather/airnow.rs:24	FIELD_COUNT	code	keep_code_constant	owning typed contract module	airnow	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/weather/airnow.rs:25	HOURLY_AQ_FIELD_COUNT	code	keep_code_constant	owning typed contract module	airnow	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/weather/airnow.rs:713	HOURLY_HEADER	code	keep_code_constant	owning adapter contract module	airnow	Stable identifier or protocol spelling is not an operator-tunable value
crates/quant-pivot-api/src/weather/ghcnh.rs:20	MAX_YEAR_FILE_BYTES	code	keep_code_constant	owning typed contract module	ghcnh	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/weather/ghcnh.rs:22	REQUIRED_COLUMNS	code	keep_code_constant	owning typed contract module	ghcnh	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/weather/gistemp.rs:20	MONTHS	code	keep_code_constant	owning typed contract module	gistemp	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/weather/tornado.rs:28	SPC_HEADERS	code	keep_code_constant	owning typed contract module	tornado	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/ws/mod.rs:138	MAX_CONCURRENT_CONNECTS	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/ws/normalize.rs:24	DELTA_GROUP	code	keep_code_constant	owning typed contract module	normalize	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/ws/shard.rs:44	TOKEN_DEBOUNCE	code	keep_code_constant	owning typed contract module	shard	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/ws/shard.rs:49	CONNECT_PERMIT_GRACE	code	keep_code_constant	owning typed contract module	shard	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/ws/shard.rs:53	STARTUP_STAGGER_STEP	code	keep_code_constant	owning typed contract module	shard	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/ws/shard.rs:54	STARTUP_STAGGER_SLOTS	code	keep_code_constant	owning typed contract module	shard	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/ws/shard.rs:55	OUTPUT_ENQUEUE_TIMEOUT	code	centralize_operational_constant	owning worker contract or Deploy resource budget	shard	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-api/src/ws/shard.rs:56	SESSION_LEDGER_TIMEOUT	code	centralize_operational_constant	owning worker contract or Deploy resource budget	shard	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-api/src/ws/token_intern.rs:12	TOKEN_INTERN	code	keep_code_constant	owning typed contract module	token_intern	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-bin/src/main.rs:23	SDK_LOG_DIRECTIVE	code	keep_code_constant	owning typed contract module	main	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/book_update_coalescer.rs:29	TICK_INTERVAL	code	centralize_operational_constant	owning worker contract or Deploy resource budget	book_update_coalescer	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/clob_market_info_worker.rs:11	FETCH_CONCURRENCY	code	centralize_operational_constant	owning worker contract or Deploy resource budget	clob_market_info_worker	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/crypto_live_ingest_worker.rs:31	DISCOVERY_INTERVAL	code	centralize_operational_constant	owning worker contract or Deploy resource budget	crypto_live_ingest_worker	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/crypto_live_ingest_worker.rs:32	RECONNECT_BACKOFF	code	keep_code_constant	owning typed contract module	crypto_live_ingest_worker	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/crypto_live_ingest_worker.rs:33	BINANCE_PAGE_SIZE	code	keep_code_constant	owning typed contract module	crypto_live_ingest_worker	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/crypto_rtds_ingest_worker.rs:27	DISCOVERY_INTERVAL	code	centralize_operational_constant	owning worker contract or Deploy resource budget	crypto_rtds_ingest_worker	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/crypto_rtds_ingest_worker.rs:28	RECONNECT_BACKOFF	code	keep_code_constant	owning typed contract module	crypto_rtds_ingest_worker	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/domain_event_outbox_worker.rs:20	BATCH_SIZE	code	centralize_operational_constant	owning worker contract or Deploy resource budget	domain_event_outbox_worker	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/domain_event_outbox_worker.rs:21	LEASE_DURATION	code	centralize_operational_constant	owning worker contract or Deploy resource budget	domain_event_outbox_worker	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/domain_source_supervisor.rs:38	RECONCILE_INTERVAL	code	centralize_operational_constant	owning worker contract or Deploy resource budget	domain_source_supervisor	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/domain_source_supervisor.rs:39	CREDENTIAL_BLOCKER_REASON	code	keep_code_constant	owning typed contract module	domain_source_supervisor	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/domain_source_supervisor.rs:40	REMOVED_BINDING_REASON	code	keep_code_constant	owning typed contract module	domain_source_supervisor	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/entry_condition_evaluation_outbox_worker.rs:13	BATCH_SIZE	code	centralize_operational_constant	owning worker contract or Deploy resource budget	entry_condition_evaluation_outbox_worker	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/entry_condition_evaluation_outbox_worker.rs:14	LEASE_DURATION	code	centralize_operational_constant	owning worker contract or Deploy resource budget	entry_condition_evaluation_outbox_worker	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/execution_dispatcher.rs:39	AUTO_DISPATCH_BATCH	code	centralize_operational_constant	owning worker contract or Deploy resource budget	execution_dispatcher	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/execution_dispatcher.rs:41	RECOVER_DANGLING_LIMIT	code	keep_code_constant	owning typed contract module	execution_dispatcher	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/execution_dispatcher.rs:44	RECOVERY_RETRY_BACKOFF	code	keep_code_constant	owning typed contract module	execution_dispatcher	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/intent_service.rs:25	INTENT_EXPIRE_SWEEP_BATCH	code	centralize_operational_constant	owning worker contract or Deploy resource budget	intent_service	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/periodic_services.rs:20	DATA_QUALITY_REFRESH_SECS	code	keep_code_constant	owning typed contract module	periodic_services	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/phase_11_9_evidence_bootstrap.rs:79	EVIDENCE_FORMAT_VERSION	code	reset_boot_1	owning typed contract module	serializer, validator and lineage reader	System-owned contract version is reset to the first boot baseline because no production lineage exists
crates/quant-pivot-core/src/app/phase_11_9_evidence_bootstrap.rs:80	CRYPTO_WORKER_SHUTDOWN_TIMEOUT	code	centralize_operational_constant	owning worker contract or Deploy resource budget	phase_11_9_evidence_bootstrap	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/ports/research_catalog.rs:42	COLLINEARITY_DEFINITION_LIMIT	code	keep_code_constant	owning typed contract module	research_catalog	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/ports/structural_monitor.rs:49	TOP_MARKETS_LIMIT	code	keep_code_constant	owning typed contract module	structural_monitor	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/ports/structural_monitor.rs:50	TOP_PARTICIPANTS_LIMIT	code	keep_code_constant	owning typed contract module	structural_monitor	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/report_scheduler.rs:26	EXPIRE_SWEEP_BATCH	code	centralize_operational_constant	owning worker contract or Deploy resource budget	report_scheduler	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/research_job_worker.rs:77	ALL_KINDS	code	keep_code_constant	owning typed contract module	research_job_worker	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/research_readiness_worker.rs:19	CAPTURE_INTERVAL	code	centralize_operational_constant	owning worker contract or Deploy resource budget	research_readiness_worker	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/system_status_broadcaster.rs:24	STARTUP_TICK	code	keep_code_constant	owning typed contract module	system_status_broadcaster	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/system_status_broadcaster.rs:26	STEADY_TICK	code	keep_code_constant	owning typed contract module	system_status_broadcaster	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/task_registry.rs:49	COUNT	code	keep_code_constant	owning typed contract module	task_registry	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/task_registry.rs:51	ALL	code	keep_code_constant	owning typed contract module	task_registry	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/weather_ingest_worker.rs:54	AVIATION_REQUEST_SPACING	code	keep_code_constant	owning typed contract module	weather_ingest_worker	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/weather_ingest_worker.rs:55	WEATHER_BOOTSTRAP_DAYS	code	keep_code_constant	owning typed contract module	weather_ingest_worker	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/weather_public_ingest_worker.rs:40	AIRNOW_CORRECTION_BATCH_HOURS	code	centralize_operational_constant	owning worker contract or Deploy resource budget	weather_public_ingest_worker	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/weather_public_ingest_worker.rs:41	NCEI_FINALIZATION_LAG_DAYS	code	keep_code_constant	owning typed contract module	weather_public_ingest_worker	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/weather_public_ingest_worker.rs:42	ERROR_DETAIL_LIMIT	code	keep_code_constant	owning typed contract module	weather_public_ingest_worker	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/app/web_services.rs:68	OPERATION_LOG_BATCH_SIZE	code	centralize_operational_constant	owning worker contract or Deploy resource budget	web_services	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/web_services.rs:69	OPERATION_LOG_FLUSH_INTERVAL	code	centralize_operational_constant	owning worker contract or Deploy resource budget	web_services	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/app/web_services.rs:70	OPERATION_LOG_BUFFER_CAPACITY	code	centralize_operational_constant	owning worker contract or Deploy resource budget	web_services	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/execution/admission/engine.rs:25	ADMISSION_CHECK_COUNT	code	keep_algorithm_invariant	owning execution or report contract module	engine	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/execution/breaker.rs:55	BREAKER_ACTOR	code	keep_algorithm_invariant	owning execution or report contract module	breaker	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/execution/breaker.rs:57	DIMENSION_VENUE	code	keep_algorithm_invariant	owning execution or report contract module	breaker	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/execution/breaker.rs:59	DIMENSION_DAILY_LOSS	code	migrate_runtime_policy	RecommendationPolicy or ExecutionRiskPolicy	money-impacting decision path	Business decision threshold requires audited hot activation and decision snapshot lineage
crates/quant-pivot-core/src/execution/breaker.rs:62	DAILY_LOSS_DEGRADE_FRACTION	code	migrate_runtime_policy	RecommendationPolicy or ExecutionRiskPolicy	money-impacting decision path	Business decision threshold requires audited hot activation and decision snapshot lineage
crates/quant-pivot-core/src/execution/exit_monitor_service.rs:49	SCAN_BATCH_GUARD	code	keep_algorithm_invariant	owning execution or report contract module	exit_monitor_service	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/execution/intent_service.rs:1718	COUNTER	code	keep_algorithm_invariant	owning execution or report contract module	intent_service	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/execution/intent_service.rs:852	GTD_MIN_EFFECTIVE_LIFETIME_SECS	code	keep_algorithm_invariant	owning execution or report contract module	intent_service	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/execution/intent_service.rs:853	GTD_SECURITY_BUFFER_SECS	code	keep_algorithm_invariant	owning execution or report contract module	intent_service	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/execution/reconciliation/service.rs:63	RECONCILE_BATCH	code	keep_algorithm_invariant	owning execution or report contract module	service	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/execution/reconciliation/service.rs:65	WORKER_ACTOR	code	keep_algorithm_invariant	owning execution or report contract module	service	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/execution/settlement_redeem.rs:294	RELAYER_WAIT_MAX_POLLS	code	keep_algorithm_invariant	owning execution or report contract module	settlement_redeem	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/execution/settlement_redeem.rs:295	RELAYER_WAIT_POLL_INTERVAL	code	keep_algorithm_invariant	owning execution or report contract module	settlement_redeem	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/execution/settlement_redeem.rs:56	STANDARD_BINARY_YES_INDEX_SET	code	keep_algorithm_invariant	owning execution or report contract module	settlement_redeem	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/execution/settlement_redeem.rs:57	STANDARD_BINARY_NO_INDEX_SET	code	keep_algorithm_invariant	owning execution or report contract module	settlement_redeem	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/governance/category_pointer_guard.rs:329	COUNTER	code	keep_code_constant	owning typed contract module	category_pointer_guard	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/governance/execution_recovery.rs:20	BLOCKING_RECONCILIATION_LIMIT	code	keep_code_constant	owning typed contract module	execution_recovery	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/infra/deadline_scheduler.rs:29	LOOKAHEAD_HORIZON	code	keep_code_constant	owning typed contract module	deadline_scheduler	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/infra/sharding.rs:4	SHARD_SEED	code	keep_code_constant	owning typed contract module	sharding	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/ingest/data_pipeline.rs:41	MIN_BOOK_SHARD_COUNT	code	keep_code_constant	owning typed contract module	data_pipeline	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/ingest/data_pipeline.rs:45	MAX_BOOK_SHARD_COUNT	code	keep_code_constant	owning typed contract module	data_pipeline	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/ingest/data_pipeline.rs:49	MIN_BOOK_CHANNEL_CAPACITY	code	centralize_operational_constant	owning worker contract or Deploy resource budget	data_pipeline	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/ingest/data_pipeline.rs:50	BOOK_CHANNEL_HEADROOM_PER_TOKEN	code	keep_code_constant	owning typed contract module	data_pipeline	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/ingest/data_pipeline.rs:51	BOOK_CHANNEL_TIMEOUT	code	centralize_operational_constant	owning worker contract or Deploy resource budget	data_pipeline	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/ingest/data_pipeline.rs:52	SHUTDOWN_DRAIN_QUIET_PERIOD	code	keep_code_constant	owning typed contract module	data_pipeline	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/ingest/data_pipeline.rs:53	BACKPRESSURE_WARN_INTERVAL	code	centralize_operational_constant	owning worker contract or Deploy resource budget	data_pipeline	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/ingest/data_pipeline.rs:54	MAX_CANONICAL_MICRO_BATCH_SIZE	code	centralize_operational_constant	owning worker contract or Deploy resource budget	data_pipeline	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/ingest/data_pipeline.rs:55	CANONICAL_COALESCE_WINDOW	code	keep_code_constant	owning typed contract module	data_pipeline	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/ingest/trade_tape_health.rs:14	ON_CHAIN_CONTRACT_COUNT	code	keep_code_constant	owning typed contract module	trade_tape_health	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/observability/book_fact_writer.rs:30	CANONICAL_WRITE_TIMEOUT	code	centralize_operational_constant	owning worker contract or Deploy resource budget	book_fact_writer	Operational constant must have one named owner; environment-sensitive values move to Deploy Config
crates/quant-pivot-core/src/observability/book_fact_writer.rs:31	L2_SCHEMA_VERSION	code	reset_boot_1	owning typed contract module	serializer, validator and lineage reader	System-owned contract version is reset to the first boot baseline because no production lineage exists
crates/quant-pivot-core/src/observability/metrics_hub.rs:75	FACT_LAG_BUCKETS_SECS	code	keep_code_constant	owning typed contract module	metrics_hub	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/observability/metrics_hub.rs:80	REPORT_RUN_BUCKETS_SECS	code	keep_code_constant	owning typed contract module	metrics_hub	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/observability/serving_evidence.rs:19	SERVING_EVIDENCE_FORMAT_VERSION	code	reset_boot_1	owning typed contract module	serializer, validator and lineage reader	System-owned contract version is reset to the first boot baseline because no production lineage exists
crates/quant-pivot-core/src/prefetch/replay_page.rs:34	MAX_REPLAY_PAGE_MARKETS	code	keep_code_constant	owning typed contract module	replay_page	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/projection/inference_batch.rs:299	FEATURE	code	keep_code_constant	owning typed contract module	inference_batch	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/report/builder.rs:1128	CORRELATION_BUCKET_SECS	code	keep_algorithm_invariant	owning execution or report contract module	builder	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/report/fact_bundle.rs:21	RECOMMENDATION_TABLE	code	keep_code_constant	owning adapter contract module	fact_bundle	Stable identifier or protocol spelling is not an operator-tunable value
crates/quant-pivot-core/src/report/fact_bundle.rs:22	FUNNEL_TABLE	code	keep_code_constant	owning adapter contract module	fact_bundle	Stable identifier or protocol spelling is not an operator-tunable value
crates/quant-pivot-core/src/report/fact_delivery.rs:35	RECOMMENDATION_TABLE	code	keep_code_constant	owning adapter contract module	fact_delivery	Stable identifier or protocol spelling is not an operator-tunable value
crates/quant-pivot-core/src/report/fact_delivery.rs:36	FUNNEL_TABLE	code	keep_code_constant	owning adapter contract module	fact_delivery	Stable identifier or protocol spelling is not an operator-tunable value
crates/quant-pivot-core/src/report/fact_delivery.rs:37	CHUNK_ROWS	code	keep_algorithm_invariant	owning execution or report contract module	fact_delivery	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/report/fact_delivery.rs:38	MAX_DELIVERY_ATTEMPTS	code	keep_algorithm_invariant	owning execution or report contract module	fact_delivery	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/report/fact_delivery.rs:39	LEASE_DURATION	code	keep_algorithm_invariant	owning execution or report contract module	fact_delivery	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/report/fact_delivery.rs:40	IDLE_POLL_INTERVAL	code	keep_algorithm_invariant	owning execution or report contract module	fact_delivery	Internal algorithm invariant is centralized and is not an operator preference
crates/quant-pivot-core/src/service/cpcv_backtest.rs:100	CPCV	code	keep_code_constant	owning typed contract module	cpcv_backtest	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/service/cpcv_backtest.rs:101	TRIAL_GRID	code	keep_code_constant	owning typed contract module	cpcv_backtest	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/service/cpcv_backtest.rs:102	FINALIZE	code	keep_code_constant	owning typed contract module	cpcv_backtest	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/service/cpcv_backtest.rs:96	TOTAL	code	keep_code_constant	owning typed contract module	cpcv_backtest	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/service/cpcv_backtest.rs:97	LOAD	code	keep_code_constant	owning typed contract module	cpcv_backtest	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/service/cpcv_backtest.rs:98	MATERIALIZE_EXAMPLES	code	keep_code_constant	owning typed contract module	cpcv_backtest	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/service/cpcv_backtest.rs:99	MATERIALIZE_TICKS	code	keep_code_constant	owning typed contract module	cpcv_backtest	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-core/src/service/feature_integrity.rs:38	DEFAULT_FULL_WINDOW_HOURS	code	keep_code_constant	owning typed contract module	feature_integrity	Stable mathematical, lexical or defensive invariant is not a business configuration
